City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
344,Karratha,AU,72.64,clear sky,-20.7377,116.8463,ibis Styles Karratha
348,San Pedro,PH,83.43,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
350,Touros,BR,82.31,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
353,Kapoeta,SS,82.18,overcast clouds,4.7717,33.5903,Eastgate Hotel
354,Matara,LK,78.51,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
356,Balikpapan,ID,74.62,overcast clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
357,Acari,PE,75.06,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
358,Prabumulih,ID,72.84,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
359,Los Llanos De Aridane,ES,70.12,scattered clouds,28.6585,-17.9182,Valle Aridane
361,Akyab,MM,81.95,broken clouds,20.15,92.9,Hotel Memory
363,Elmira,US,71.92,broken clouds,42.0898,-76.8077,Mark Twain Motor Inn
365,Hualmay,PE,68.52,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
373,Kuala Lumpur,MY,74.75,few clouds,3.1431,101.6865,Swiss Garden Hotel Kuala Lumpur
374,Yangshan,CN,68.13,overcast clouds,28.7615,115.0287,
378,Thiers,FR,80.92,clear sky,45.8333,3.5,Hôtel Eliotel
379,Algiers,DZ,73.22,clear sky,36.7525,3.042,Sofitel Algiers Hamma Garden
381,Lalitpur,NP,71.98,few clouds,27.6667,85.3333,Hotel Himalaya
385,Donskoye,RU,77.13,clear sky,45.4552,41.9741,
386,Puerto Parra,CO,82.56,overcast clouds,6.6515,-74.0573,Casa Hotel Villa Johana
387,Katobu,ID,75.52,overcast clouds,-4.9408,122.5276,La Ode Husein
389,Berasia,IN,77.45,overcast clouds,23.6333,77.4333,np__nitin home
390,Coari,BR,78.15,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
392,Mataram,ID,76.01,broken clouds,-8.5833,116.1167,Hotel Santika Mataram
393,Westport,US,77.38,overcast clouds,41.1415,-73.3579,The Westport Inn
398,Porto Santo,PT,68.38,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
401,Amuntai,ID,73.26,overcast clouds,-2.4177,115.2494,Hotel Balqis
403,Hami,CN,75.09,clear sky,42.8,93.45,Laoyutang Resort
404,Mudkhed,IN,81.57,overcast clouds,19.1667,77.5167,Shaikh Shahid's Home
405,Panorama,GR,70.43,few clouds,40.5878,23.0315,Panorama Hotel
411,Sambava,MG,71.33,overcast clouds,-14.2667,50.1667,Melrose
413,Guerrero Negro,MX,76.75,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
414,Sao Jose Da Coroa Grande,BR,79.41,light rain,-8.8978,-35.1478,Crôa Mares Hotel
416,Cap-Aux-Meules,CA,69.82,broken clouds,47.3821,-61.8597,Auberge Madeli
417,Oborniki,PL,75.61,broken clouds,52.6474,16.8141,Accommodations sleep on the Warta River
418,Auki,SB,76.15,clear sky,-8.7676,160.7034,Auki Motel
420,Saint-Ambroise,CA,71.91,broken clouds,48.5501,-71.3324,Motel Saint-Ambroise
422,Fethiye,TR,73.27,clear sky,36.6217,29.1164,Club & Hotel Letoonia
425,Griffith,US,74.39,broken clouds,41.5284,-87.4237,Apartment above Depot Bar
426,Nabire,ID,75.02,few clouds,-3.3667,135.4833,Hotel Nusantara I
434,Mattru,SL,76.6,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
435,Payo,ID,71.42,overcast clouds,-3.7508,103.6372,Mess keban agung
440,Tukrah,LY,72.97,clear sky,32.5341,20.5791,Lagrota restaurant
447,Kuryk,KZ,73.47,broken clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
448,Goderich,CA,70.12,scattered clouds,43.7501,-81.7165,Harmony Inn
449,Almeria,ES,79.43,clear sky,37.1667,-2.3333,Casa Rural El Laurel
450,Itoman,JP,77.02,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
451,Kimbe,PG,74.26,clear sky,-5.5502,150.1429,Kimbe Bay Hotel
457,Marienburg,PL,68.85,broken clouds,54.0359,19.0266,Hotel Centrum Malbork
459,Souris,CA,74.73,broken clouds,49.6172,-100.2612,The Souris Hotel
460,Chimbote,PE,68.43,few clouds,-9.0853,-78.5783,Hotel Briliá
463,Ewa Beach,US,80.6,light rain,21.3156,-158.0072,Base Lodging
466,Ilebo,CD,76.03,clear sky,-4.3167,20.5833,Hôtel BUMAK
467,Areosa,PT,71.82,light rain,41.7178,-8.8571,Hotel Flôr de Sal
468,Pemangkat,ID,77.97,overcast clouds,1.1667,108.9667,Ramah Kost KITA
469,Zhob,PK,81.03,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
471,Lewisporte,CA,73.11,overcast clouds,49.2499,-55.0482,Ocean View Bed & Breakfast
472,Pedasi,PA,78.06,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
477,Benjamin Constant,BR,77.13,broken clouds,-4.3831,-70.0311,CASA AVALIADA
480,Passo De Camaragibe,BR,76.55,few clouds,-9.2368,-35.4901,Chácara vovó candinha
481,Carnot,CF,74.52,light rain,4.9409,15.8665,
488,Gasa,PS,82.89,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
490,Biak,ID,76.3,overcast clouds,-0.9131,122.8766,Penginapan Kim
492,San Policarpo,PH,79.16,scattered clouds,12.1791,125.5072,Agapita M. Nicart
503,Koutsouras,GR,75.11,few clouds,35.0339,25.9469,The White Houses
504,Hamilton,US,78.26,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
506,Halifax,CA,75.52,overcast clouds,44.6453,-63.5724,Hotel Halifax
509,Saint Anthony,US,78.42,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
511,La Rioja,ES,71.38,overcast clouds,42.25,-2.5,Casa Concejos
512,Mahibadhoo,MV,82.92,overcast clouds,3.7833,72.9667,Omadhoo Inn
513,Bonthe,SL,80.26,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
515,Ambilobe,MG,69.6,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
518,Tutoia,BR,80.47,overcast clouds,-2.7619,-42.2744,Pousada Guará's
519,Mayo,US,72.66,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
521,Port Hedland,AU,68.05,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
533,Denizli,TR,70.3,clear sky,37.8402,29.0698,Anemon Denizli Hotel
536,Sumoto,JP,69.84,light rain,34.35,134.9,Yumekaiyu Awajishima
538,Inhambane,MZ,71.58,scattered clouds,-23.865,35.3833,Oceano
539,Gorontalo,ID,73.81,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
542,Fuerte Olimpo,PY,69.12,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
543,Leczna,PL,70.11,clear sky,51.3012,22.8814,Pokoje gościnne 30stka
546,Banjar,ID,76.91,overcast clouds,-8.19,114.9675,The Hamsa Resort
548,Talas,TR,72.27,scattered clouds,38.6908,35.5538,Fimaj Residence
551,Pitimbu,BR,73.99,few clouds,-7.4706,-34.8086,Reserva do Abiaí
552,Puerto Baquerizo Moreno,EC,74.39,light rain,-0.9,-89.6,Hotel los Algarrobos
553,Shache,CN,79.47,broken clouds,38.4167,77.2406,Delong Hotel
