City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
195,Carman,CA,2022-06-06 17:42:59,49.4992,-98.0016,66.27,48,1,11.5
196,Pacific Grove,US,2022-06-06 17:43:00,36.6177,-121.9166,74.21,88,75,13.0
197,Barbate,ES,2022-06-06 17:43:00,36.1924,-5.9219,79.21,42,36,11.27
198,Saskylakh,RU,2022-06-06 17:43:01,71.9167,114.0833,35.28,79,47,4.76
199,Preili,LV,2022-06-06 17:43:02,56.2944,26.7246,60.75,75,100,2.08
200,Macomb,US,2022-06-06 17:42:17,40.4592,-90.6718,80.78,68,0,8.05
201,Horgesti,RO,2022-06-06 17:43:02,46.4333,27.0667,71.02,46,0,0.0
202,Muros,ES,2022-06-06 17:43:03,42.7762,-9.0603,70.68,70,43,5.08
203,Kundiawa,PG,2022-06-06 17:43:04,-6.0167,144.9667,58.44,96,42,2.39
204,Palmer,US,2022-06-06 17:43:04,42.1584,-72.3287,81.52,33,40,4.61
205,Sao Sebastiao,BR,2022-06-06 17:43:05,-23.76,-45.4097,74.28,68,92,3.69
206,Kutum,SD,2022-06-06 17:43:05,14.2,24.6667,86.88,11,8,8.32
207,Constitucion,CL,2022-06-06 17:43:06,-35.3333,-72.4167,58.42,77,39,5.08
208,Pendleton,US,2022-06-06 17:43:07,45.6721,-118.7886,68.61,64,100,9.22
209,Reitz,ZA,2022-06-06 17:43:07,-27.8014,28.4273,48.85,51,0,5.23
210,Pisco,PE,2022-06-06 17:43:08,-13.7,-76.2167,69.85,68,0,11.5
211,Khatanga,RU,2022-06-06 17:43:09,71.9667,102.5,37.11,91,38,5.7
212,Male,MV,2022-06-06 17:43:09,4.1748,73.5089,84.15,84,75,9.22
213,Pemba,MZ,2022-06-06 17:43:10,-12.974,40.5178,75.33,77,0,12.01
214,Saint George,US,2022-06-06 17:43:10,37.1041,-113.5841,94.62,17,0,4.61
215,Suamico,US,2022-06-06 17:40:58,44.6319,-88.0393,59.77,93,100,9.57
216,Vung Tau,VN,2022-06-06 17:43:11,10.346,107.0843,81.93,81,100,12.97
217,Vayalar,IN,2022-06-06 17:43:11,9.7,76.3333,80.01,83,99,3.18
218,Sussex,US,2022-06-06 17:42:47,41.1834,-74.6663,81.19,44,0,5.75
219,Hasaki,JP,2022-06-06 17:43:12,35.7333,140.8333,63.28,86,100,22.79
220,Severo-Kurilsk,RU,2022-06-06 17:43:12,50.6789,156.125,42.67,89,100,5.61
221,Saint-Francois,FR,2022-06-06 17:43:13,46.4154,3.9054,67.44,64,0,11.5
222,Hovd,MN,2022-06-06 17:43:14,48.0056,91.6419,53.55,36,80,5.1
223,Omboue,GA,2022-06-06 17:43:16,-1.5746,9.2618,75.61,84,63,7.14
224,Cortez,US,2022-06-06 17:43:16,37.3489,-108.5859,83.93,22,0,3.44
225,Santa Cruz,BO,2022-06-06 17:42:30,-17.8,-63.1667,85.46,54,75,17.27
226,Vrangel,RU,2022-06-06 17:44:17,42.7297,133.0839,47.37,89,53,3.31
227,Cayenne,GF,2022-06-06 17:44:17,4.9333,-52.3333,75.24,1,75,3.44
228,Camargo,MX,2022-06-06 17:44:18,27.6667,-105.1667,93.25,11,1,6.55
229,Dharchula,IN,2022-06-06 17:44:18,29.85,80.5333,73.33,30,1,5.32
230,Kushmurun,KZ,2022-06-06 17:44:19,52.4503,64.6311,65.71,48,100,9.53
231,Vagur,FO,2022-06-06 17:44:19,61.4732,-6.8119,50.79,83,69,7.18
232,Tezu,IN,2022-06-06 17:44:20,27.9167,96.1667,76.89,80,87,3.09
233,Balsas,BR,2022-06-06 17:44:20,-7.5325,-46.0356,89.46,39,9,6.98
234,Tilichiki,RU,2022-06-06 17:44:21,60.4667,166.1,42.62,92,100,4.05
235,Lagoa,PT,2022-06-06 17:44:21,39.05,-27.9833,64.98,93,91,22.73
236,Taltal,CL,2022-06-06 17:44:22,-25.4,-70.4833,66.58,63,0,3.62
237,Castro,BR,2022-06-06 17:44:23,-24.7911,-50.0119,69.46,69,100,7.78
238,Tevaitoa,PF,2022-06-06 17:44:23,-16.7833,-151.5,80.08,75,21,19.06
239,Octeville,FR,2022-06-06 17:44:24,49.6261,-1.6435,63.09,67,100,5.75
240,Semnan,IR,2022-06-06 17:44:25,35.5729,53.3971,81.1,26,84,9.71
241,Okhotsk,RU,2022-06-06 17:44:25,59.3833,143.3,45.64,82,34,1.86
242,Vallenar,CL,2022-06-06 17:44:26,-28.5708,-70.7581,77.05,15,0,4.32
243,Garowe,SO,2022-06-06 17:44:27,8.4054,48.4845,84.04,47,90,14.85
244,Usinsk,RU,2022-06-06 17:44:27,65.9939,57.5281,57.83,42,65,10.49
245,Verkhnevilyuysk,RU,2022-06-06 17:44:28,63.4453,120.3167,52.57,98,81,5.14
246,Padang,ID,2022-06-06 17:44:28,-0.9492,100.3543,75.25,87,100,3.2
247,Labuhan,ID,2022-06-06 17:44:29,-6.8844,112.2051,78.62,87,98,5.23
248,Wanxian,CN,2022-06-06 17:44:29,30.8039,108.3897,71.15,91,90,2.98
249,Kavieng,PG,2022-06-06 17:44:30,-2.5744,150.7967,82.0,76,28,11.36
250,Longyearbyen,SJ,2022-06-06 17:42:08,78.2186,15.6401,48.04,61,75,16.11
251,Hithadhoo,MV,2022-06-06 17:44:31,-0.6,73.0833,83.43,71,97,3.56
252,Kuching,MY,2022-06-06 17:44:31,1.55,110.3333,75.42,94,20,3.44
253,Orbetello,IT,2022-06-06 17:44:32,42.4408,11.2196,82.42,70,60,7.31
254,Grindavik,IS,2022-06-06 17:44:33,63.8424,-22.4338,53.55,87,75,13.8
255,Hambantota,LK,2022-06-06 17:44:33,6.1241,81.1185,78.78,85,99,15.21
256,Sechura,PE,2022-06-06 17:44:34,-5.5569,-80.8222,74.79,60,77,9.44
257,Erechim,BR,2022-06-06 17:44:34,-27.6342,-52.2739,59.58,98,100,1.28
258,Inhambane,MZ,2022-06-06 17:44:35,-23.865,35.3833,69.78,68,40,6.91
259,Nouadhibou,MR,2022-06-06 17:44:35,20.931,-17.0347,75.18,64,59,20.71
260,Muzaffarnagar,IN,2022-06-06 17:44:36,29.4667,77.6833,92.53,12,0,6.11
261,Yeppoon,AU,2022-06-06 17:44:37,-23.1333,150.7333,62.38,82,95,4.12
262,Rach Gia,VN,2022-06-06 17:44:37,10.0167,105.0833,82.98,77,74,13.62
263,Pitimbu,BR,2022-06-06 17:44:38,-7.4706,-34.8086,81.19,81,36,14.54
264,Uyovu,TZ,2022-06-06 17:44:38,-3.2833,31.5258,66.29,66,43,5.28
265,Manggar,ID,2022-06-06 17:44:39,-2.8833,108.2667,80.37,77,77,6.2
